ds,yhat,yhat_lower,yhat_upper
2017-10-01,34964.847464126906,31498.581779087024,38088.78091041413
2017-11-01,33959.400321908135,30580.551270459124,37429.290196101494
2017-12-01,34021.628107724326,30571.92606226624,37553.9071431606
2018-01-01,34287.84672630114,30953.392148059014,37565.924671896515
2018-02-01,32797.24741158583,29655.537646398767,36161.32449841899
2018-03-01,37594.949463374796,34046.94360994255,41187.37278692699
2018-04-01,36351.830772236994,33002.882032403075,39496.19063286723
2018-05-01,39761.66517960237,36320.56264739186,43265.860367876056
2018-06-01,40689.3772195473,37451.053485615645,43912.370370461314
2018-07-01,42396.93959091668,38952.15587260605,45677.87941901647
2018-08-01,40405.51070550559,37147.16037855483,43830.64069498769
2018-09-01,40019.054170083225,36805.047169073056,43203.23573884057
2018-10-01,41298.97334563845,38012.212630175025,44563.10256651301
2018-11-01,39810.31086618761,36382.15143198282,43088.74708198247
2018-12-01,39498.03768324432,35998.683642511474,42658.7355077399
2019-01-01,40007.68366082866,36584.8629303909,43429.541136092084
2019-02-01,37993.9522953953,34771.018486967696,41207.30088110597
2019-03-01,43301.899088365644,39719.552128380434,46651.344492700875
2019-04-01,42661.91097332923,39146.7797636181,46106.170706285695
2019-05-01,45648.604127919076,42028.85094481927,48902.73123811631
2019-06-01,46896.57947472587,43535.95757248288,50193.245116174585
2019-07-01,48200.348113893364,44837.49689011673,51670.05688365213
2019-08-01,45703.91178071869,42413.365417564266,49116.510784259226
2019-09-01,45678.15416920104,42366.717266293934,48942.63588635863
2019-10-01,46980.7976292611,43620.953754890346,50285.368799777534
2019-11-01,44848.65449953257,41575.45537268825,48294.62150621441
2019-12-01,43913.79868176828,40568.00647213761,47235.20082922666
2020-01-01,44545.86349521668,41203.96885024298,48080.23949411599
2020-02-01,41931.611934791195,38694.86129272058,44946.358346036024
2020-03-01,45207.92445247177,41819.34920482797,48417.90002059692
2020-04-01,44722.090897784416,41224.753498498845,47975.21643089203
2020-05-01,50485.31783576947,47063.46087864143,53784.33388308139
2020-06-01,50641.423032233295,47092.92690561971,53699.70102991687
2020-07-01,53392.40772954647,49893.21151643376,56799.35450906421
2020-08-01,50649.738810239905,47508.4117945814,53978.83701026189
2020-09-01,48520.515058033496,45162.09053106721,51974.480409849886
2020-10-01,49625.72991208256,46132.89421291773,53079.30689410989
2020-11-01,48044.90699981528,44919.40712312779,51512.80334404372
2020-12-01,48120.380835625474,44726.13044251979,51294.18233791553
2021-01-01,47769.87964507542,44672.87341166365,51099.91431136109
2021-02-01,45521.2840483142,42008.825862277125,48821.60545187649
2021-03-01,51984.873088809334,48521.747032651365,55227.00383319907
2021-04-01,48800.33065350573,45420.15734057551,52091.44862581973
2021-05-01,54019.34129723475,50595.4842151303,57565.41018573767
2021-06-01,54514.11174848715,51263.07228235354,57690.1165554618
2021-07-01,56925.53028577889,53590.39926677806,60285.752964297666
2021-08-01,53872.29284308707,50544.76535957271,57206.12240563048
2021-09-01,52239.00111755806,49050.67892709589,55554.294245753634
2021-10-01,53450.33969799695,49878.25123561735,57093.527039923676
2021-11-01,51415.37394846331,48131.14283869247,54934.15839723957
2021-12-01,50937.606524730145,47733.222672934506,54025.56174561836
2022-01-01,50756.997809147,47487.76474853071,53880.22169576789
2022-02-01,48011.77929807863,44697.27280307661,51332.1944582707
2022-03-01,54491.955106117704,51246.752742965415,57618.96293655403
2022-04-01,52123.59076378628,48939.316250230666,55478.90621136181
2022-05-01,56287.32984789402,52843.508201143406,59315.41067492795
2022-06-01,56853.30276184927,53625.22589908956,60594.75476638875
2022-07-01,58504.90577434759,55091.01552625672,61999.149117969675
2022-08-01,55051.99059911961,51811.65661222887,58330.28132716887
2022-09-01,53844.993077131774,50595.810735836625,57140.10574844365
2022-10-01,54820.29019797318,51798.34057925834,58157.491303774215
2022-11-01,52118.43326763261,48700.054656842585,55329.7243600776
2022-12-01,51029.47448740161,47743.887127948656,54333.73541945054
2023-01-01,50992.92748363701,47684.67715653842,54422.30150960972
2023-02-01,47829.22596509854,44445.64136680468,51139.668662971235
2023-03-01,53889.57932867899,50158.95545383741,57086.16628859534
2023-04-01,52428.87850631972,49056.62522348541,55893.33422260046
2023-05-01,55425.89401866033,52351.64720574525,58654.31986942
2023-06-01,56241.01414160339,52963.14394905947,59312.6363192424
2023-07-01,57231.58682914066,53807.60451104568,60652.70160140501
2023-08-01,53715.224046816,50178.821706273644,57079.28271588795
2023-09-01,53142.24689193411,49913.41127683281,56504.491844848475
2023-10-01,54126.3227290383,50640.401004598985,57340.85192088103
2023-11-01,51154.09234528915,47964.38419573173,54560.98815024098
2023-12-01,49685.43603449847,46223.09297340047,52982.53899150706
2024-01-01,49984.15016244263,46866.87426849949,53189.871712650405
2024-02-01,46663.76901159294,43210.012838451476,49929.032207075645
2024-03-01,53767.67105042798,50528.75755042719,57245.47877384089
2024-04-01,48985.143932110914,45720.85607110897,52397.73609277525
2024-05-01,54863.274129910686,51512.79348267377,58200.269186072466
2024-06-01,54588.106000180975,51277.13319713193,57500.16637502159
2024-07-01,57105.17577607394,53893.89660920018,60487.20323761508
2024-08-01,53737.65896695678,50445.25648297306,57010.38552037174
2024-09-01,51067.837393691414,47841.29836962889,54353.17715415674
2024-10-01,51829.35442709148,48391.617555253695,55052.83214932984
2024-11-01,49781.23069750499,46496.3447344467,53132.54025342224
2024-12-01,49479.08904493034,46001.75773267765,52804.09164853453
2025-01-01,48733.12275495079,45517.71663372328,51951.737939195766
2025-02-01,46076.133945851034,42634.67601408243,49428.77920895113
2025-03-01,52248.24038723444,48647.27000092807,55478.85883911008
2025-04-01,48667.04343817768,45276.99842103558,52211.17760651662
2025-05-01,53468.858025685,50226.22518965962,56749.42371328794
2025-06-01,53543.20341062953,50155.57385189406,56983.008457619755
2025-07-01,55496.68047676523,52084.57479645433,58565.416002370934
2025-08-01,52158.5524418036,48651.865290899645,55355.03134537899
2025-09-01,50230.129181137534,46719.62154242708,53524.15284099264
2025-10-01,51054.54370867678,47389.27374027347,54334.868153574134
2025-11-01,48775.76491769261,45403.56204327344,52274.08086314381
2025-12-01,48101.249714964775,44694.13758807054,51309.09629017732
2026-01-01,47704.11563773923,44456.86976261089,50650.2056888504
2026-02-01,44910.88662702618,41584.212557516264,48312.90573285765
2026-03-01,50755.21048017515,47298.15264949485,54056.62844526755
2026-04-01,48320.324887895025,45149.99801593732,51643.59284249244
2026-05-01,52072.943702357494,48714.32307529568,55225.81231349497
2026-06-01,52484.58213863481,49026.381321581925,55793.53924689219
2026-07-01,53897.81896616454,50836.39133930688,57284.09762155788
2026-08-01,50608.4784844583,47265.24745780917,53872.5062119171
2026-09-01,49392.98597957421,46089.64505325875,52937.40616239001
2026-10-01,50260.196725264745,46706.18578710648,53560.31869101171
2026-11-01,47756.049008381655,44080.43277364249,51219.005589517335
2026-12-01,46732.54763186655,43254.1468693109,50246.04665530515
2027-01-01,46672.47758061085,43251.720807797254,50001.74094550858
2027-02-01,43751.80503944779,40401.701025007,47042.78462579149
2027-03-01,49287.99779243876,45991.68795077912,52553.01052744092
